Smiles,ID
CN,DNA
CNC(=O)[C@H](CN)NC(=O)OCC1c2ccccc2-c2ccccc21,A1
CNC(=O)CNCCNC(=O)OCC1c2ccccc2-c2ccccc21,A2
CNC(=O)[C@H](N)CCNC(=O)OCC1c2ccccc2-c2ccccc21,A3
CNC(=O)C[C@@H](CN)NC(=O)OCC1c2ccccc2-c2ccccc21,A4
CNC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)NC,A5
CNC(=O)CN(C(=O)OCC1c2ccccc2-c2ccccc21)C1CNC1,A6
CNC(=O)[C@@H]1CN(C(=O)OCC2c3ccccc3-c3ccccc32)CCN1,A7
CNC(=O)[C@@H]1C[C@@H](NC(=O)OCC2c3ccccc3-c3ccccc32)CN1,A8
CNC(=O)[C@H]1C[C@H](N)CN1C(=O)OCC1c2ccccc2-c2ccccc21,A9
CNC(=O)[C@H](CCCN)NC(=O)OCC1c2ccccc2-c2ccccc21,A10
CC(C)(C)OC(NC[C@@H](C(O)=O)NC(OCC1c(cccc2)c2-c2c1cccc2)=O)=O,AX
CNC([C@@H](CC(OC)=O)CN)=O,AY
O=C(C(NC(OC(C)(C)C)=O)N)NC,AZ
OC(CNC(OC(C)(C)C)=O)=O,L1
OC(C(NC(OC(C)(C)C)=O)NC(OCC1c(cccc2)c2-c2c1cccc2)=O)=O,L2
NCCCCNC(OC(C)(C)C)=O,L3
OC(CCCNC(OC(C)(C)C)=O)=O,L4
CNC(=O)[C@@H]1C[C@H]1N,B1dna
CNC(=O)C[C@@H](C)N,B2dna
CNC(=O)C[C@H](N)CO,B3dna
C#CC[C@H](N)CC(=O)NC,B4dna
CNC(=O)C[C@@H](N)CC(N)=O,B5dna
CNC(=O)C[C@H](N)CC(C)C,B6dna
CC[C@H](C)[C@H](N)CC(=O)NC,B7dna
CNC(=O)CC1(N)CCCCC1,B8dna
CNC(=O)CC1(N)CCOCC1,B9dna
CNC(=O)C[C@@H](N)CCC(N)=O,B10dna
CNC(=O)C[C@H](N)C/C=C/c1ccccc1,B11dna
CNC(=O)[C@@H](CC(C)C)NC,B12dna
CCC[C@@H](N)C(=O)NC,B13dna
C#CC[C@@H](N)C(=O)NC,B14dna
CNC(=O)[C@@](C)(N)CO,B15dna
CNC(=O)[C@@H](N)CC(C)(C)C,B16dna
CNC(=O)[C@H](CCN)NC(C)=O,B17dna
CCCC(N)(CCC)C(=O)NC,B18dna
CNC(=O)C1(N)CC2(CCC2)C1,B19dna
CNC(=O)[C@@H](N)CCCCN(C)C,B20dna
CNC(=O)[C@H](N)CCCNC(N)=O,B21dna
CNC(=O)[C@H](N)CC1CCCCC1,B22dna
CNC(=O)[C@@H](N)CCCCNC(C)=O,B23dna
CNC(=O)[C@@H](N)CCCCNC(N)=O,B24dna
CNC(=O)CCC(C)(C)N,B25dna
CNC(=O)CCCCN,B26dna
CNC(=O)C[C@@H](O)CN,B27dna
CNC(=O)CC(C)(C)CN,B28dna
CNC(=O)CC1(CN)COC1,B29dna
CNC(=O)[C@@H](N)[C@H](O)c1cccnc1,B30dna
CNC(=O)[C@@H](N)[C@H](O)c1ccccc1,B31dna
CNC(=O)[C@@H](N)[C@H](O)c1ccc(Cl)cc1,B32dna
CNC(=O)[C@@H]1CC[C@H]1N,B33dna
