DEL,ID,Smiles
CHEMBL,CHEMBL362972,COc1cccc(S(=O)(=O)c2nc3c(N)ncnc3n2CCOC(C)C)c1
CHEMBL,CHEMBL3468619,CCSc1cncc(N2CCC(NC(=O)C3CCCCC3)CC2)n1
CHEMBL,CHEMBL331864,COc1cc(Br)c2c3c1[C@H](CN)CC[C@H]3CO2
CHEMBL,CHEMBL2367811,C/C=C/c1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
CHEMBL,CHEMBL1316236,COc1ccc(N2CCN(CCC(=O)c3ccc4ccccc4c3)CC2)cc1
CHEMBL,CHEMBL3221202,O=C1/C(=C/c2cccc(OCc3ccc(F)cc3)c2)N=C2SCCCCN12
CHEMBL,CHEMBL2251984,CC(C)N1CCN(Cc2ccc(Cl)nc2)/C1=N/[N+](=O)[O-]
CHEMBL,CHEMBL341497,c1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccc3)CC2)cc1
CHEMBL,CHEMBL1835210,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C
CHEMBL,CHEMBL1366677,CC(C)C(=O)Nc1c(C(=O)N2CCN(c3ccccc3F)CC2)oc2ccccc12
CHEMBL,CHEMBL186214,N[C@@]1(C(=O)O)[C@H](OCc2ccccc2)C[C@@H]2[C@H]1[C@@]2(F)C(=O)O
CHEMBL,CHEMBL2136047,COc1ccc(C(=O)N(C)[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2[C@H](C)O)cc1
CHEMBL,CHEMBL3457313,CCc1ncc2c(n1)CN(CC(=O)N1CCc3sccc3C1)CC2
CHEMBL,CHEMBL3770410,CC(=O)c1cc(-c2cccc(C(N)=O)c2)c2ccccn12
CHEMBL,CHEMBL1520852,Cc1cc(C)cc(Cn2ncc(Cl)c(Cl)c2=O)c1
CHEMBL,CHEMBL3702931,Cn1cc(-c2cncc(Nc3nn(C4CCCC[C@@H]4C#N)cc3C(N)=O)c2)cn1
CHEMBL,CHEMBL1389342,Cc1ccccc1CC(=O)c1ccc(O)c(C)c1O
CHEMBL,CHEMBL3805394,COc1cc(-n2c(/C=C/c3ccco3)nc3ccccc3c2=O)cc(OC)c1OC
CHEMBL,CHEMBL222091,COc1ccc([C@H]2[C@H]3CCc4ccc(OC)cc4C3=NN2C=O)cc1
CHEMBL,CHEMBL2431608,CCOc1cc(C(Nc2ccc3cnccc3c2)C(=O)NS(=O)(=O)c2cccc(S(N)(=O)=O)c2)ccc1OC(C)C
CHEMBL,CHEMBL4284500,C[C@@H](O)CCC/C=C/C=C/[C@H](O)C[C@@H](O)C/C=C\C=C\[C@@H](O)C/C=C/C=C\C(=O)O
