BB1,BB2,BB3
A1,C1,C1
A2,C2,C2
A3,C3,C3
A4,C4,C4
A5,C5,C5
A6,C6,C6
A7,C7,C7
A8,C8,C8
A9,C9,C9
A10,C10,C10
,C11,C11
,C12,C12
,C13,C13
,C14,C14
,C15,C15
,C16,C16
,C17,C17
,C18,C18
,C19,C19
,C20,C20
,C21,C21
,C22,C22
,C23,C23
,C24,C24
,C25,C25
,C26,C26
,C27,C27
,C28,C28
,C29,C29
,C30,C30
,C31,C31
,C32,C32
,C33,C33
,C34,C34
,C35,C35
,C36,C36
,C37,C37
,C38,C38
,C39,C39
,C40,C40
,C41,C41
,C42,C42
,C43,C43
,C44,C44
,C45,C45
,C46,C46
,C47,C47
,C48,C48
,C49,C49
,C50,C50
,C51,C51
,C52,C52
,C53,C53
,C54,C54
,C55,C55
,C56,C56
,C57,C57
,C58,C58
,C59,C59
,C60,C60
,C61,C61
,C62,C62
,C63,C63
,C64,C64
,C65,C65
,C66,C66
,C67,C67
,C68,C68
,C69,C69
,C70,C70
,C71,C71
,C72,C72
,C73,C73
,C74,C74
,C75,C75
,C76,C76
,C77,C77
,C78,C78
,C79,C79
,C80,C80
,C81,C81
,C82,C82
,C83,C83
,C84,C84
,C85,C85
,C86,C86
,C87,C87
,C88,C88
,C89,C89
,C90,C90
,C91,C91
,C92,C92
,C93,C93
,C94,C94
,C95,C95
,C96,C96
,C97,C97
,C98,C98
,C99,C99
,C100,C100
,C101,C101
,C102,C102
,C103,C103
,C104,C104
,C105,C105
,C106,C106
,C107,C107
,C108,C108
,C109,C109
,C110,C110
,C111,C111
,C112,C112
,C113,C113
,C114,C114
,C115,C115
,C116,C116
,C117,C117
,C118,C118
,C119,C119
,C120,C120
,C121,C121
,C122,C122
,C123,C123
,C124,C124
,C125,C125
,C126,C126
,C127,C127
,C128,C128
,C129,C129
,C130,C130
,C131,C131
,C132,C132
,C133,C133
,C134,C134
,C135,C135
,C136,C136
,C137,C137
,C138,C138
,C139,C139
,C140,C140
,C141,C141
,C142,C142
,C143,C143
,C144,C144
,C145,C145
,C146,C146
,C147,C147
,C148,C148
,C149,C149
,C150,C150
,C151,C151
,C152,C152
,C153,C153
,C154,C154
,C155,C155
,C156,C156
,C157,C157
,C158,C158
,C159,C159
,C160,C160
,C161,C161
,C162,C162
,C163,C163
,C164,C164
,C165,C165
