BB1,BB2,BB3,BB4
AY,B1,L4,B1
,B2,,B2
,B3,,B3
,B4,,B4
,B6,,B6
,B7,,B7
,B8,,B8
,B9,,B9
,B11,,B11
,B12,,B12
,B13,,B13
,B14,,B14
,B15,,B15
,B16,,B16
,B17,,B17
,B18,,B18
,B19,,B19
,B20,,B20
,B22,,B22
,B23,,B23
,B25,,B25
,B26,,B26
,B27,,B27
,B28,,B28
,B29,,B29
,B30,,B30
,B31,,B31
,B32,,B32
,B33,,B33
,B34,,B34
,B35,,B35
,B36,,B36
,B37,,B37
,B38,,B38
,B39,,B39
,B40,,B40
,B41,,B41
,B42,,B42
,B43,,B43
,B44,,B44
,B45,,B45
,B46,,B46
,B47,,B47
,B48,,B48
,B49,,B49
,B50,,B50
,B51,,B51
,B52,,B52
,B53,,B53
,B54,,B54
,B55,,B55
,B56,,B56
,B57,,B57
,B58,,B58
,B59,,B59
,B60,,B60
,B61,,B61
,B62,,B62
,B63,,B63
,B64,,B64
,B65,,B65
,B66,,B66
,B67,,B67
,B68,,B68
,B69,,B69
,B70,,B70
,B71,,B71
,B72,,B72
,B73,,B73
,B74,,B74
,B75,,B75
,B76,,B76
,B77,,B77
,B78,,B78
,B79,,B79
,B80,,B80
,B81,,B81
,B82,,B82
,B84,,B84
,B85,,B85
,B86,,B86
,B87,,B87
,B88,,B88
,B89,,B89
,B90,,B90
,B91,,B91
,B92,,B92
,B93,,B93
,B94,,B94
,B95,,B95
,B96,,B96
,B97,,B97
,B98,,B98
,B100,,B100
